Date,States,Homocides
5/1/2016,Alabama,0
5/1/2016,Arkansas,16
5/1/2016,Arizona,24
5/1/2016,California,156
5/1/2016,Colorado,19
5/1/2016,Connecticut,7
5/1/2016,District of Columbia,16
5/1/2016,Delaware,2
5/1/2016,Florida,0
5/1/2016,Georgia,50
5/1/2016,Hawaii,6
5/1/2016,Iowa,2
5/1/2016,Idaho,5
5/1/2016,Illinois,83
5/1/2016,Indiana,25
5/1/2016,Kansas,9
5/1/2016,Kentucky,19
5/1/2016,Louisiana,47
5/1/2016,Massachusetts,13
5/1/2016,Maryland,43
5/1/2016,Maine,1
5/1/2016,Michigan,57
5/1/2016,Minnesota,10
5/1/2016,Missouri,42
5/1/2016,Mississippi,14
5/1/2016,Montana,2
5/1/2016,Nebraska,11
5/1/2016,North Carolina,53
5/1/2016,North Dakota,3
5/1/2016,New Hampshire,3
5/1/2016,New Jersey,36
5/1/2016,New Mexico,13
5/1/2016,Nevada,11
5/1/2016,New York,54
5/1/2016,Ohio,50
5/1/2016,Oklahoma,22
5/1/2016,Oregon,8
5/1/2016,Pennsylvania,55
5/1/2016,Rhode Island,5
5/1/2016,South Carolina,38
5/1/2016,South Dakota,2
5/1/2016,Tennessee,38
5/1/2016,Texas,133
5/1/2016,Utah,7
5/1/2016,Virginia,40
5/1/2016,Vermont,0
5/1/2016,Washington,15
5/1/2016,Wisconsin,19
5/1/2016,West Virginia,11
5/1/2016,Wyoming,2
6/1/2016,Alaska,3
6/1/2016,Alabama,0
6/1/2016,Arkansas,24
6/1/2016,Arizona,33
6/1/2016,California,184
6/1/2016,Colorado,13
6/1/2016,Connecticut,6
6/1/2016,District of Columbia,10
6/1/2016,Delaware,4
6/1/2016,Florida,0
6/1/2016,Georgia,68
6/1/2016,Hawaii,2
6/1/2016,Iowa,5
6/1/2016,Idaho,3
6/1/2016,Illinois,90
6/1/2016,Indiana,24
6/1/2016,Kansas,10
6/1/2016,Kentucky,23
6/1/2016,Louisiana,43
6/1/2016,Massachusetts,12
6/1/2016,Maryland,40
6/1/2016,Maine,3
6/1/2016,Michigan,43
6/1/2016,Minnesota,11
6/1/2016,Missouri,49
6/1/2016,Mississippi,10
6/1/2016,Montana,1
6/1/2016,Nebraska,1
6/1/2016,North Carolina,47
6/1/2016,North Dakota,1
6/1/2016,New Hampshire,1
6/1/2016,New Jersey,26
6/1/2016,New Mexico,17
6/1/2016,Nevada,19
6/1/2016,New York,54
6/1/2016,Ohio,55
6/1/2016,Oklahoma,18
6/1/2016,Oregon,13
6/1/2016,Pennsylvania,74
6/1/2016,Rhode Island,3
6/1/2016,South Carolina,26
6/1/2016,South Dakota,1
6/1/2016,Tennessee,41
6/1/2016,Texas,137
6/1/2016,Utah,6
6/1/2016,Virginia,37
6/1/2016,Vermont,0
6/1/2016,Washington,13
6/1/2016,Wisconsin,17
6/1/2016,West Virginia,7
6/1/2016,Wyoming,1
7/1/2016,Alaska,9
7/1/2016,Alabama,0
7/1/2016,Arkansas,22
7/1/2016,Arizona,36
7/1/2016,California,168
7/1/2016,Colorado,18
7/1/2016,Connecticut,9
7/1/2016,District of Columbia,12
7/1/2016,Delaware,8
7/1/2016,Florida,0
7/1/2016,Georgia,67
7/1/2016,Hawaii,4
7/1/2016,Iowa,6
7/1/2016,Idaho,5
7/1/2016,Illinois,89
7/1/2016,Indiana,28
7/1/2016,Kansas,6
7/1/2016,Kentucky,22
7/1/2016,Louisiana,68
7/1/2016,Massachusetts,7
7/1/2016,Maryland,58
7/1/2016,Maine,2
7/1/2016,Michigan,63
7/1/2016,Minnesota,11
7/1/2016,Missouri,49
7/1/2016,Mississippi,12
7/1/2016,Montana,1
7/1/2016,Nebraska,3
7/1/2016,North Carolina,47
7/1/2016,North Dakota,0
7/1/2016,New Hampshire,2
7/1/2016,New Jersey,34
7/1/2016,New Mexico,13
7/1/2016,Nevada,24
7/1/2016,New York,63
7/1/2016,Ohio,64
7/1/2016,Oklahoma,15
7/1/2016,Oregon,6
7/1/2016,Pennsylvania,65
7/1/2016,Rhode Island,6
7/1/2016,South Carolina,34
7/1/2016,South Dakota,1
7/1/2016,Tennessee,49
7/1/2016,Texas,141
7/1/2016,Utah,12
7/1/2016,Virginia,33
7/1/2016,Vermont,0
7/1/2016,Washington,17
7/1/2016,Wisconsin,22
7/1/2016,West Virginia,8
7/1/2016,Wyoming,0
8/1/2016,Alaska,3
8/1/2016,Alabama,1
8/1/2016,Arkansas,14
8/1/2016,Arizona,31
8/1/2016,California,190
8/1/2016,Colorado,14
8/1/2016,Connecticut,9
8/1/2016,District of Columbia,17
8/1/2016,Delaware,1
8/1/2016,Florida,0
8/1/2016,Georgia,61
8/1/2016,Hawaii,2
8/1/2016,Iowa,5
8/1/2016,Idaho,4
8/1/2016,Illinois,113
8/1/2016,Indiana,34
8/1/2016,Kansas,4
8/1/2016,Kentucky,37
8/1/2016,Louisiana,55
8/1/2016,Massachusetts,10
8/1/2016,Maryland,40
8/1/2016,Maine,2
8/1/2016,Michigan,58
8/1/2016,Minnesota,12
8/1/2016,Missouri,64
8/1/2016,Mississippi,13
8/1/2016,Montana,0
8/1/2016,Nebraska,2
8/1/2016,North Carolina,42
8/1/2016,North Dakota,2
8/1/2016,New Hampshire,1
8/1/2016,New Jersey,38
8/1/2016,New Mexico,12
8/1/2016,Nevada,18
8/1/2016,New York,70
8/1/2016,Ohio,70
8/1/2016,Oklahoma,38
8/1/2016,Oregon,15
8/1/2016,Pennsylvania,77
8/1/2016,Rhode Island,1
8/1/2016,South Carolina,24
8/1/2016,South Dakota,2
8/1/2016,Tennessee,32
8/1/2016,Texas,120
8/1/2016,Utah,3
8/1/2016,Virginia,36
8/1/2016,Vermont,0
8/1/2016,Washington,13
8/1/2016,Wisconsin,27
8/1/2016,West Virginia,10
8/1/2016,Wyoming,4
9/1/2016,Alaska,3
9/1/2016,Alabama,0
9/1/2016,Arkansas,17
9/1/2016,Arizona,26
9/1/2016,California,162
9/1/2016,Colorado,19
9/1/2016,Connecticut,7
9/1/2016,District of Columbia,14
9/1/2016,Delaware,6
9/1/2016,Florida,0
9/1/2016,Georgia,48
9/1/2016,Hawaii,1
9/1/2016,Iowa,5
9/1/2016,Idaho,3
9/1/2016,Illinois,83
9/1/2016,Indiana,40
9/1/2016,Kansas,14
9/1/2016,Kentucky,18
9/1/2016,Louisiana,45
9/1/2016,Massachusetts,10
9/1/2016,Maryland,54
9/1/2016,Maine,1
9/1/2016,Michigan,53
9/1/2016,Minnesota,9
9/1/2016,Missouri,47
9/1/2016,Mississippi,17
9/1/2016,Montana,0
9/1/2016,Nebraska,2
9/1/2016,North Carolina,53
9/1/2016,North Dakota,0
9/1/2016,New Hampshire,2
9/1/2016,New Jersey,37
9/1/2016,New Mexico,3
9/1/2016,Nevada,17
9/1/2016,New York,73
9/1/2016,Ohio,50
9/1/2016,Oklahoma,18
9/1/2016,Oregon,11
9/1/2016,Pennsylvania,52
9/1/2016,Rhode Island,1
9/1/2016,South Carolina,35
9/1/2016,South Dakota,0
9/1/2016,Tennessee,46
9/1/2016,Texas,143
9/1/2016,Utah,5
9/1/2016,Virginia,38
9/1/2016,Vermont,1
9/1/2016,Washington,22
9/1/2016,Wisconsin,20
9/1/2016,West Virginia,5
9/1/2016,Wyoming,3
10/1/2016,Alaska,4
10/1/2016,Alabama,0
10/1/2016,Arkansas,22
10/1/2016,Arizona,34
10/1/2016,California,178
10/1/2016,Colorado,24
10/1/2016,Connecticut,2
10/1/2016,District of Columbia,7
10/1/2016,Delaware,2
10/1/2016,Florida,0
10/1/2016,Georgia,51
10/1/2016,Hawaii,3
10/1/2016,Iowa,16
10/1/2016,Idaho,8
10/1/2016,Illinois,103
10/1/2016,Indiana,35
10/1/2016,Kansas,8
10/1/2016,Kentucky,25
10/1/2016,Louisiana,48
10/1/2016,Massachusetts,19
10/1/2016,Maryland,41
10/1/2016,Maine,4
10/1/2016,Michigan,63
10/1/2016,Minnesota,9
10/1/2016,Missouri,52
10/1/2016,Mississippi,9
10/1/2016,Montana,2
10/1/2016,Nebraska,3
10/1/2016,North Carolina,51
10/1/2016,North Dakota,1
10/1/2016,New Hampshire,0
10/1/2016,New Jersey,27
10/1/2016,New Mexico,5
10/1/2016,Nevada,24
10/1/2016,New York,47
10/1/2016,Ohio,48
10/1/2016,Oklahoma,22
10/1/2016,Oregon,5
10/1/2016,Pennsylvania,64
10/1/2016,Rhode Island,1
10/1/2016,South Carolina,30
10/1/2016,South Dakota,2
10/1/2016,Tennessee,45
10/1/2016,Texas,123
10/1/2016,Utah,6
10/1/2016,Virginia,42
10/1/2016,Vermont,6
10/1/2016,Washington,16
10/1/2016,Wisconsin,29
10/1/2016,West Virginia,7
10/1/2016,Wyoming,4
11/1/2016,Alaska,5
11/1/2016,Alabama,0
11/1/2016,Arkansas,22
11/1/2016,Arizona,25
11/1/2016,California,173
11/1/2016,Colorado,26
11/1/2016,Connecticut,9
11/1/2016,District of Columbia,13
11/1/2016,Delaware,5
11/1/2016,Florida,0
11/1/2016,Georgia,61
11/1/2016,Hawaii,5
11/1/2016,Iowa,11
11/1/2016,Idaho,5
11/1/2016,Illinois,103
11/1/2016,Indiana,31
11/1/2016,Kansas,12
11/1/2016,Kentucky,23
11/1/2016,Louisiana,56
11/1/2016,Massachusetts,9
11/1/2016,Maryland,42
11/1/2016,Maine,1
11/1/2016,Michigan,51
11/1/2016,Minnesota,13
11/1/2016,Missouri,46
11/1/2016,Mississippi,14
11/1/2016,Montana,3
11/1/2016,Nebraska,1
11/1/2016,North Carolina,47
11/1/2016,North Dakota,1
11/1/2016,New Hampshire,4
11/1/2016,New Jersey,39
11/1/2016,New Mexico,5
11/1/2016,Nevada,4
11/1/2016,New York,51
11/1/2016,Ohio,64
11/1/2016,Oklahoma,18
11/1/2016,Oregon,12
11/1/2016,Pennsylvania,44
11/1/2016,Rhode Island,3
11/1/2016,South Carolina,44
11/1/2016,South Dakota,4
11/1/2016,Tennessee,37
11/1/2016,Texas,109
11/1/2016,Utah,5
11/1/2016,Virginia,56
11/1/2016,Vermont,2
11/1/2016,Washington,19
11/1/2016,Wisconsin,9
11/1/2016,West Virginia,7
11/1/2016,Wyoming,0
12/1/2016,Alaska,7
12/1/2016,Alabama,0
12/1/2016,Arkansas,18
12/1/2016,Arizona,24
12/1/2016,California,150
12/1/2016,Colorado,9
12/1/2016,Connecticut,9
12/1/2016,District of Columbia,11
12/1/2016,Delaware,5
12/1/2016,Florida,0
12/1/2016,Georgia,53
12/1/2016,Hawaii,3
12/1/2016,Iowa,6
12/1/2016,Idaho,3
12/1/2016,Illinois,79
12/1/2016,Indiana,30
12/1/2016,Kansas,10
12/1/2016,Kentucky,20
12/1/2016,Louisiana,49
12/1/2016,Massachusetts,11
12/1/2016,Maryland,34
12/1/2016,Maine,1
12/1/2016,Michigan,45
12/1/2016,Minnesota,4
12/1/2016,Missouri,50
12/1/2016,Mississippi,15
12/1/2016,Montana,4
12/1/2016,Nebraska,3
12/1/2016,North Carolina,49
12/1/2016,North Dakota,1
12/1/2016,New Hampshire,2
12/1/2016,New Jersey,38
12/1/2016,New Mexico,10
12/1/2016,Nevada,17
12/1/2016,New York,36
12/1/2016,Ohio,62
12/1/2016,Oklahoma,33
12/1/2016,Oregon,8
12/1/2016,Pennsylvania,55
12/1/2016,Rhode Island,3
12/1/2016,South Carolina,23
12/1/2016,South Dakota,2
12/1/2016,Tennessee,55
12/1/2016,Texas,117
12/1/2016,Utah,9
12/1/2016,Virginia,49
12/1/2016,Vermont,2
12/1/2016,Washington,14
12/1/2016,Wisconsin,21
12/1/2016,West Virginia,9
12/1/2016,Wyoming,0
1/1/2017,Alaska,6
1/1/2017,Alabama,2
1/1/2017,Arkansas,28
1/1/2017,Arizona,33
1/1/2017,California,152
1/1/2017,Colorado,16
1/1/2017,Connecticut,10
1/1/2017,District of Columbia,8
1/1/2017,Delaware,9
1/1/2017,Florida,0
1/1/2017,Georgia,51
1/1/2017,Hawaii,5
1/1/2017,Iowa,10
1/1/2017,Idaho,5
1/1/2017,Illinois,80
1/1/2017,Indiana,25
1/1/2017,Kansas,6
1/1/2017,Kentucky,24
1/1/2017,Louisiana,55
1/1/2017,Massachusetts,13
1/1/2017,Maryland,54
1/1/2017,Maine,1
1/1/2017,Michigan,55
1/1/2017,Minnesota,11
1/1/2017,Missouri,52
1/1/2017,Mississippi,12
1/1/2017,Montana,6
1/1/2017,Nebraska,6
1/1/2017,North Carolina,50
1/1/2017,North Dakota,1
1/1/2017,New Hampshire,4
1/1/2017,New Jersey,29
1/1/2017,New Mexico,5
1/1/2017,Nevada,16
1/1/2017,New York,42
1/1/2017,Ohio,59
1/1/2017,Oklahoma,33
1/1/2017,Oregon,11
1/1/2017,Pennsylvania,61
1/1/2017,Rhode Island,0
1/1/2017,South Carolina,26
1/1/2017,South Dakota,5
1/1/2017,Tennessee,42
1/1/2017,Texas,140
1/1/2017,Utah,5
1/1/2017,Virginia,48
1/1/2017,Vermont,5
1/1/2017,Washington,27
1/1/2017,Wisconsin,12
1/1/2017,West Virginia,12
1/1/2017,Wyoming,0
2/1/2017,Alaska,3
2/1/2017,Alabama,0
2/1/2017,Arkansas,15
2/1/2017,Arizona,28
2/1/2017,California,149
2/1/2017,Colorado,13
2/1/2017,Connecticut,8
2/1/2017,District of Columbia,6
2/1/2017,Delaware,6
2/1/2017,Florida,0
2/1/2017,Georgia,46
2/1/2017,Hawaii,0
2/1/2017,Iowa,7
2/1/2017,Idaho,4
2/1/2017,Illinois,23
2/1/2017,Indiana,26
2/1/2017,Kansas,9
2/1/2017,Kentucky,30
2/1/2017,Louisiana,41
2/1/2017,Massachusetts,14
2/1/2017,Maryland,29
2/1/2017,Maine,4
2/1/2017,Michigan,40
2/1/2017,Minnesota,6
2/1/2017,Missouri,32
2/1/2017,Mississippi,18
2/1/2017,Montana,0
2/1/2017,Nebraska,0
2/1/2017,North Carolina,31
2/1/2017,North Dakota,0
2/1/2017,New Hampshire,1
2/1/2017,New Jersey,15
2/1/2017,New Mexico,8
2/1/2017,Nevada,20
2/1/2017,New York,37
2/1/2017,Ohio,59
2/1/2017,Oklahoma,9
2/1/2017,Oregon,4
2/1/2017,Pennsylvania,46
2/1/2017,Rhode Island,2
2/1/2017,South Carolina,26
2/1/2017,South Dakota,0
2/1/2017,Tennessee,32
2/1/2017,Texas,115
2/1/2017,Utah,1
2/1/2017,Virginia,29
2/1/2017,Vermont,1
2/1/2017,Washington,15
2/1/2017,Wisconsin,14
2/1/2017,West Virginia,6
2/1/2017,Wyoming,1
3/1/2017,Alaska,3
3/1/2017,Alabama,0
3/1/2017,Arkansas,23
3/1/2017,Arizona,28
3/1/2017,California,151
3/1/2017,Colorado,14
3/1/2017,Connecticut,4
3/1/2017,District of Columbia,14
3/1/2017,Delaware,4
3/1/2017,Florida,0
3/1/2017,Georgia,46
3/1/2017,Hawaii,3
3/1/2017,Iowa,7
3/1/2017,Idaho,2
3/1/2017,Illinois,58
3/1/2017,Indiana,14
3/1/2017,Kansas,13
3/1/2017,Kentucky,24
3/1/2017,Louisiana,42
3/1/2017,Massachusetts,7
3/1/2017,Maryland,42
3/1/2017,Maine,0
3/1/2017,Michigan,50
3/1/2017,Minnesota,1
3/1/2017,Missouri,28
3/1/2017,Mississippi,13
3/1/2017,Montana,3
3/1/2017,Nebraska,3
3/1/2017,North Carolina,39
3/1/2017,North Dakota,0
3/1/2017,New Hampshire,3
3/1/2017,New Jersey,27
3/1/2017,New Mexico,5
3/1/2017,Nevada,20
3/1/2017,New York,39
3/1/2017,Ohio,70
3/1/2017,Oklahoma,19
3/1/2017,Oregon,8
3/1/2017,Pennsylvania,55
3/1/2017,Rhode Island,0
3/1/2017,South Carolina,28
3/1/2017,South Dakota,1
3/1/2017,Tennessee,40
3/1/2017,Texas,130
3/1/2017,Utah,3
3/1/2017,Virginia,25
3/1/2017,Vermont,2
3/1/2017,Washington,18
3/1/2017,Wisconsin,19
3/1/2017,West Virginia,7
3/1/2017,Wyoming,1
4/1/2017,Alaska,5
4/1/2017,Alabama,0
4/1/2017,Arkansas,25
4/1/2017,Arizona,34
4/1/2017,California,148
4/1/2017,Colorado,25
4/1/2017,Connecticut,9
4/1/2017,District of Columbia,8
4/1/2017,Delaware,3
4/1/2017,Florida,1
4/1/2017,Georgia,62
4/1/2017,Hawaii,6
4/1/2017,Iowa,10
4/1/2017,Idaho,1
4/1/2017,Illinois,64
4/1/2017,Indiana,33
4/1/2017,Kansas,15
4/1/2017,Kentucky,21
4/1/2017,Louisiana,45
4/1/2017,Massachusetts,12
4/1/2017,Maryland,37
4/1/2017,Maine,1
4/1/2017,Michigan,43
4/1/2017,Minnesota,10
4/1/2017,Missouri,51
4/1/2017,Mississippi,16
4/1/2017,Montana,3
4/1/2017,Nebraska,5
4/1/2017,North Carolina,54
4/1/2017,North Dakota,0
4/1/2017,New Hampshire,0
4/1/2017,New Jersey,24
4/1/2017,New Mexico,8
4/1/2017,Nevada,19
4/1/2017,New York,46
4/1/2017,Ohio,42
4/1/2017,Oklahoma,14
4/1/2017,Oregon,8
4/1/2017,Pennsylvania,61
4/1/2017,Rhode Island,2
4/1/2017,South Carolina,26
4/1/2017,South Dakota,2
4/1/2017,Tennessee,45
4/1/2017,Texas,99
4/1/2017,Utah,4
4/1/2017,Virginia,36
4/1/2017,Vermont,0
4/1/2017,Washington,22
4/1/2017,Wisconsin,10
4/1/2017,West Virginia,9
4/1/2017,Wyoming,0
5/1/2017,Alaska,6
5/1/2017,Alabama,1
5/1/2017,Arkansas,34
5/1/2017,Arizona,42
5/1/2017,California,159
5/1/2017,Colorado,25
5/1/2017,Connecticut,7
5/1/2017,District of Columbia,7
5/1/2017,Delaware,5
5/1/2017,Florida,1
5/1/2017,Georgia,50
5/1/2017,Hawaii,1
5/1/2017,Iowa,11
5/1/2017,Idaho,2
5/1/2017,Illinois,92
5/1/2017,Indiana,34
5/1/2017,Kansas,8
5/1/2017,Kentucky,29
5/1/2017,Louisiana,37
5/1/2017,Massachusetts,16
5/1/2017,Maryland,50
5/1/2017,Maine,0
5/1/2017,Michigan,49
5/1/2017,Minnesota,12
5/1/2017,Missouri,44
5/1/2017,Mississippi,10
5/1/2017,Montana,6
5/1/2017,Nebraska,3
5/1/2017,North Carolina,41
5/1/2017,North Dakota,2
5/1/2017,New Hampshire,1
5/1/2017,New Jersey,28
5/1/2017,New Mexico,13
5/1/2017,Nevada,18
5/1/2017,New York,48
5/1/2017,Ohio,59
5/1/2017,Oklahoma,17
5/1/2017,Oregon,11
5/1/2017,Pennsylvania,52
5/1/2017,Rhode Island,3
5/1/2017,South Carolina,37
5/1/2017,South Dakota,1
5/1/2017,Tennessee,44
5/1/2017,Texas,114
5/1/2017,Utah,4
5/1/2017,Virginia,37
5/1/2017,Vermont,0
5/1/2017,Washington,21
5/1/2017,Wisconsin,11
5/1/2017,West Virginia,5
5/1/2017,Wyoming,0
6/1/2017,Alaska,3
6/1/2017,Alabama,1
6/1/2017,Arkansas,14
6/1/2017,Arizona,33
6/1/2017,California,162
6/1/2017,Colorado,16
6/1/2017,Connecticut,5
6/1/2017,District of Columbia,11
6/1/2017,Delaware,2
6/1/2017,Florida,0
6/1/2017,Georgia,60
6/1/2017,Hawaii,3
6/1/2017,Iowa,12
6/1/2017,Idaho,6
6/1/2017,Illinois,31
6/1/2017,Indiana,24
6/1/2017,Kansas,19
6/1/2017,Kentucky,31
6/1/2017,Louisiana,56
6/1/2017,Massachusetts,13
6/1/2017,Maryland,34
6/1/2017,Maine,1
6/1/2017,Michigan,50
6/1/2017,Minnesota,15
6/1/2017,Missouri,63
6/1/2017,Mississippi,9
6/1/2017,Montana,3
6/1/2017,Nebraska,5
6/1/2017,North Carolina,53
6/1/2017,North Dakota,0
6/1/2017,New Hampshire,0
6/1/2017,New Jersey,25
6/1/2017,New Mexico,40
6/1/2017,Nevada,15
6/1/2017,New York,41
6/1/2017,Ohio,62
6/1/2017,Oklahoma,25
6/1/2017,Oregon,6
6/1/2017,Pennsylvania,68
6/1/2017,Rhode Island,3
6/1/2017,South Carolina,35
6/1/2017,South Dakota,3
6/1/2017,Tennessee,52
6/1/2017,Texas,84
6/1/2017,Utah,10
6/1/2017,Virginia,32
6/1/2017,Vermont,0
6/1/2017,Washington,15
6/1/2017,Wisconsin,24
6/1/2017,West Virginia,6
6/1/2017,Wyoming,1
7/1/2017,Alaska,8
7/1/2017,Alabama,1
7/1/2017,Arkansas,28
7/1/2017,Arizona,33
7/1/2017,California,166
7/1/2017,Colorado,24
7/1/2017,Connecticut,12
7/1/2017,District of Columbia,13
7/1/2017,Delaware,3
7/1/2017,Florida,0
7/1/2017,Georgia,49
7/1/2017,Hawaii,2
7/1/2017,Iowa,6
7/1/2017,Idaho,1
7/1/2017,Illinois,104
7/1/2017,Indiana,30
7/1/2017,Kansas,6
7/1/2017,Kentucky,19
7/1/2017,Louisiana,45
7/1/2017,Massachusetts,19
7/1/2017,Maryland,50
7/1/2017,Maine,7
7/1/2017,Michigan,53
7/1/2017,Minnesota,13
7/1/2017,Missouri,62
7/1/2017,Mississippi,15
7/1/2017,Montana,6
7/1/2017,Nebraska,3
7/1/2017,North Carolina,43
7/1/2017,North Dakota,2
7/1/2017,New Hampshire,0
7/1/2017,New Jersey,34
7/1/2017,New Mexico,16
7/1/2017,Nevada,22
7/1/2017,New York,61
7/1/2017,Ohio,65
7/1/2017,Oklahoma,19
7/1/2017,Oregon,10
7/1/2017,Pennsylvania,76
7/1/2017,Rhode Island,3
7/1/2017,South Carolina,30
7/1/2017,South Dakota,0
7/1/2017,Tennessee,53
7/1/2017,Texas,120
7/1/2017,Utah,7
7/1/2017,Virginia,42
7/1/2017,Vermont,2
7/1/2017,Washington,16
7/1/2017,Wisconsin,22
7/1/2017,West Virginia,8
7/1/2017,Wyoming,2
8/1/2017,Alaska,7
8/1/2017,Alabama,0
8/1/2017,Arkansas,25
8/1/2017,Arizona,28
8/1/2017,California,154
8/1/2017,Colorado,19
8/1/2017,Connecticut,12
8/1/2017,District of Columbia,8
8/1/2017,Delaware,2
8/1/2017,Florida,0
8/1/2017,Georgia,61
8/1/2017,Hawaii,2
8/1/2017,Iowa,9
8/1/2017,Idaho,4
8/1/2017,Illinois,86
8/1/2017,Indiana,41
8/1/2017,Kansas,8
8/1/2017,Kentucky,21
8/1/2017,Louisiana,54
8/1/2017,Massachusetts,18
8/1/2017,Maryland,46
8/1/2017,Maine,0
8/1/2017,Michigan,56
8/1/2017,Minnesota,9
8/1/2017,Missouri,60
8/1/2017,Mississippi,11
8/1/2017,Montana,6
8/1/2017,Nebraska,2
8/1/2017,North Carolina,67
8/1/2017,North Dakota,3
8/1/2017,New Hampshire,2
8/1/2017,New Jersey,31
8/1/2017,New Mexico,8
8/1/2017,Nevada,10
8/1/2017,New York,44
8/1/2017,Ohio,55
8/1/2017,Oklahoma,17
8/1/2017,Oregon,7
8/1/2017,Pennsylvania,60
8/1/2017,Rhode Island,0
8/1/2017,South Carolina,41
8/1/2017,South Dakota,3
8/1/2017,Tennessee,47
8/1/2017,Texas,100
8/1/2017,Utah,11
8/1/2017,Virginia,30
8/1/2017,Vermont,2
8/1/2017,Washington,13
8/1/2017,Wisconsin,22
8/1/2017,West Virginia,9
8/1/2017,Wyoming,5
9/1/2017,Alaska,5
9/1/2017,Alabama,0
9/1/2017,Arkansas,9
9/1/2017,Arizona,27
9/1/2017,California,146
9/1/2017,Colorado,14
9/1/2017,Connecticut,12
9/1/2017,District of Columbia,10
9/1/2017,Delaware,4
9/1/2017,Florida,1
9/1/2017,Georgia,49
9/1/2017,Hawaii,4
9/1/2017,Iowa,6
9/1/2017,Idaho,6
9/1/2017,Illinois,93
9/1/2017,Indiana,36
9/1/2017,Kansas,17
9/1/2017,Kentucky,17
9/1/2017,Louisiana,45
9/1/2017,Massachusetts,23
9/1/2017,Maryland,47
9/1/2017,Maine,2
9/1/2017,Michigan,53
9/1/2017,Minnesota,14
9/1/2017,Missouri,50
9/1/2017,Mississippi,11
9/1/2017,Montana,3
9/1/2017,Nebraska,5
9/1/2017,North Carolina,52
9/1/2017,North Dakota,0
9/1/2017,New Hampshire,1
9/1/2017,New Jersey,30
9/1/2017,New Mexico,12
9/1/2017,Nevada,9
9/1/2017,New York,36
9/1/2017,Ohio,52
9/1/2017,Oklahoma,28
9/1/2017,Oregon,11
9/1/2017,Pennsylvania,63
9/1/2017,Rhode Island,1
9/1/2017,South Carolina,40
9/1/2017,South Dakota,2
9/1/2017,Tennessee,43
9/1/2017,Texas,103
9/1/2017,Utah,4
9/1/2017,Virginia,41
9/1/2017,Vermont,0
9/1/2017,Washington,14
9/1/2017,Wisconsin,23
9/1/2017,West Virginia,7
9/1/2017,Wyoming,1
10/1/2017,Alaska,7
10/1/2017,Alabama,0
10/1/2017,Arkansas,15
10/1/2017,Arizona,44
10/1/2017,California,162
10/1/2017,Colorado,21
10/1/2017,Connecticut,10
10/1/2017,District of Columbia,11
10/1/2017,Delaware,5
10/1/2017,Florida,0
10/1/2017,Georgia,81
10/1/2017,Hawaii,3
10/1/2017,Iowa,5
10/1/2017,Idaho,1
10/1/2017,Illinois,91
10/1/2017,Indiana,30
10/1/2017,Kansas,8
10/1/2017,Kentucky,20
10/1/2017,Louisiana,57
10/1/2017,Massachusetts,14
10/1/2017,Maryland,40
10/1/2017,Maine,2
10/1/2017,Michigan,42
10/1/2017,Minnesota,6
10/1/2017,Missouri,54
10/1/2017,Mississippi,10
10/1/2017,Montana,3
10/1/2017,Nebraska,2
10/1/2017,North Carolina,41
10/1/2017,North Dakota,0
10/1/2017,New Hampshire,0
10/1/2017,New Jersey,24
10/1/2017,New Mexico,4
10/1/2017,Nevada,77
10/1/2017,New York,46
10/1/2017,Ohio,56
10/1/2017,Oklahoma,16
10/1/2017,Oregon,12
10/1/2017,Pennsylvania,68
10/1/2017,Rhode Island,2
10/1/2017,South Carolina,25
10/1/2017,South Dakota,3
10/1/2017,Tennessee,38
10/1/2017,Texas,132
10/1/2017,Utah,3
10/1/2017,Virginia,44
10/1/2017,Vermont,4
10/1/2017,Washington,21
10/1/2017,Wisconsin,10
10/1/2017,West Virginia,9
10/1/2017,Wyoming,0
11/1/2017,Alaska,5
11/1/2017,Alabama,1
11/1/2017,Arkansas,16
11/1/2017,Arizona,35
11/1/2017,California,122
11/1/2017,Colorado,16
11/1/2017,Connecticut,5
11/1/2017,District of Columbia,9
11/1/2017,Delaware,3
11/1/2017,Florida,0
11/1/2017,Georgia,59
11/1/2017,Hawaii,3
11/1/2017,Iowa,12
11/1/2017,Idaho,4
11/1/2017,Illinois,54
11/1/2017,Indiana,43
11/1/2017,Kansas,9
11/1/2017,Kentucky,18
11/1/2017,Louisiana,39
11/1/2017,Massachusetts,7
11/1/2017,Maryland,34
11/1/2017,Maine,1
11/1/2017,Michigan,45
11/1/2017,Minnesota,9
11/1/2017,Missouri,59
11/1/2017,Mississippi,12
11/1/2017,Montana,3
11/1/2017,Nebraska,3
11/1/2017,North Carolina,39
11/1/2017,North Dakota,1
11/1/2017,New Hampshire,1
11/1/2017,New Jersey,28
11/1/2017,New Mexico,8
11/1/2017,Nevada,21
11/1/2017,New York,39
11/1/2017,Ohio,54
11/1/2017,Oklahoma,25
11/1/2017,Oregon,12
11/1/2017,Pennsylvania,74
11/1/2017,Rhode Island,4
11/1/2017,South Carolina,37
11/1/2017,South Dakota,1
11/1/2017,Tennessee,50
11/1/2017,Texas,119
11/1/2017,Utah,15
11/1/2017,Virginia,37
11/1/2017,Vermont,0
11/1/2017,Washington,21
11/1/2017,Wisconsin,16
11/1/2017,West Virginia,6
11/1/2017,Wyoming,3
12/1/2017,Alaska,4
12/1/2017,Alabama,2
